code,first_subject,second_subject,univers
5B071100,Математика,География,"['Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Международная образовательная корпорация (КАУ МОК (KAU))', 'Карагандинский государственный технический университет (КарГТУ)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Атырауский университет нефти и газа (АУНГ)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)']"
5B070600,Математика,Физика,"['Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Атырауский университет нефти и газа (АУНГ)', 'Жезказганский университет имени О. А. Байконурова (ЖезУ им. Байконурова)', 'Карагандинский государственный технический университет (КарГТУ)', 'Актюбинский университет имени С. Баишева (АУ им. Баишева)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Каспийский общественный университет (Caspian University)']"
5B061000,Математика,География,"['Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)']"
5B070700,Математика,Физика,"['Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Жезказганский университет имени О. А. Байконурова (ЖезУ им. Байконурова)', 'Рудненский индустриальный институт (РИИ)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Карагандинский государственный технический университет (КарГТУ)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Екибастузский инженерно-технический институт имени академика К.Сатпаева (ЭИТИ)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Актюбинский университет имени С. Баишева (АУ им. Баишева)']"
5B051000,Математика,География,"['Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Карагандинский государственный технический университет (КарГТУ)', 'Алматы Менеджмент Университет (AlmaU)', 'Университет «Нархоз» (Университет Нархоз)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Казахский университет экономики, финансов и международной торговли (КазУЭФМТ)']"
5B052100,Математика,География,"['Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)']"
5B041400,Творческий экзамен,Творческий экзамен,['Казахский национальный педагогический университет имени Абая (КазНПУ)']
5B041700,Творческий экзамен,Творческий экзамен,"['Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)']"
5B010500,Биология,География,"['Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Павлодарский государственный педагогический институт (ПГПУ)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Таразский государственный педагогический университет (ТарГПИ)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Костанайский государственный педагогический институт (КГПУ)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Южно-Казахстанский государственный педагогический институт (ЮКГПИ)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)']"
5B042100,Творческий экзамен,Творческий экзамен,"['Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Алматинский технологический университет (АТУ)', 'Южно-Казахстанский государственный педагогический институт (ЮКГПИ)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Международная образовательная корпорация (КАУ МОК (KAU))', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)']"
5B010100,Биология,География,"['Актюбинский университет имени С. Баишева (АУ им. Баишева)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Костанайский государственный педагогический институт (КГПУ)', 'Павлодарский государственный педагогический институт (ПГПУ)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)', 'Аркалыкский государственный педагогический институт имени И. Алтынсарина (АркГПИ им. Алтынсарина)', 'Южно-Казахстанский государственный педагогический институт (ЮКГПИ)', 'Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Таразский государственный педагогический университет (ТарГПИ)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Евразийский гуманитарный институт (ЕАГИ)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Жезказганский университет имени О. А. Байконурова (ЖезУ им. Байконурова)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)', 'Южно-Казахстанский педагогический университет (ЮКПУ)']"
